,,,,
724,4.820,7.3546E+01,,
725,4.827,7.0163E+01,,
726,4.833,6.6779E+01,,
727,4.840,6.3395E+01,,
728,4.847,6.0011E+01,,
729,4.853,5.6628E+01,,
730,4.860,5.3244E+01,,
731,4.867,4.9860E+01,,
732,4.873,4.6476E+01,,
733,4.880,4.3093E+01,,
734,4.887,3.9709E+01,,
735,4.893,3.6325E+01,,
736,4.900,3.2941E+01,,
737,4.907,2.9558E+01,,
738,4.913,2.6174E+01,,
739,4.920,2.2790E+01,,
740,4.927,1.9406E+01,,
741,4.933,1.6023E+01,,
742,4.940,1.2639E+01,,
743,4.947,9.2550E+00,,
744,4.953,5.8713E+00,,
745,4.960,2.4875E+00,,
746,4.967,-8.9623E-01,,
747,4.973,-4.2800E+00,,
748,4.980,-7.6637E+00,,
749,4.987,-1.1047E+01,,
750,4.993,-1.4431E+01,,
751,5.000,-1.7815E+01,,
752,5.007,-2.1199E+01,,
753,5.013,-2.4583E+01,,
754,5.020,-2.7966E+01,,
755,5.027,-3.1350E+01,,
756,5.033,-3.4734E+01,,
757,5.040,-3.8118E+01,,
758,5.047,-4.1501E+01,,
759,5.053,-4.4885E+01,,
760,5.060,-4.8269E+01,,
761,5.067,-5.1653E+01,,
762,5.073,-5.5036E+01,,
763,5.080,-5.8420E+01,,
764,5.087,-6.1804E+01,,
765,5.093,-6.5188E+01,,
766,5.100,-6.8571E+01,,
767,5.107,-7.1955E+01,,
768,5.113,-7.5339E+01,,
769,5.120,-7.8723E+01,,
770,5.127,-8.2106E+01,,
771,5.133,-8.5490E+01,,
772,5.140,-8.8874E+01,,
773,5.147,-9.2258E+01,,
774,5.153,-9.5641E+01,,
775,5.160,-9.9025E+01,,
776,5.167,-1.0241E+02,,
777,5.173,-1.0579E+02,,
778,5.180,-1.0918E+02,,
779,5.187,-1.1256E+02,,
780,5.193,-1.1594E+02,,
781,5.200,-1.1933E+02,,
782,5.207,-1.2271E+02,,
783,5.213,-1.2610E+02,,
784,5.220,-1.2948E+02,,
785,5.227,-1.3286E+02,,
786,5.233,-1.3625E+02,,
787,5.240,-1.3963E+02,,
788,5.247,-1.4301E+02,,
789,5.253,-1.4640E+02,,
790,5.260,-1.4978E+02,,
791,5.267,-1.5317E+02,,
792,5.273,-1.5655E+02,,
793,5.280,-1.5993E+02,,
794,5.287,-1.6332E+02,,
795,5.293,-1.6670E+02,,
796,5.300,-1.7008E+02,,
797,5.307,-1.7347E+02,,
798,5.313,-1.7685E+02,,
799,5.320,1.7976E+02,,
800,5.327,1.7638E+02,,
801,5.333,1.7300E+02,,
802,5.340,1.6961E+02,,
803,5.347,1.6623E+02,,
804,5.353,1.6285E+02,,
805,5.360,1.5946E+02,,
806,5.367,1.5608E+02,,
807,5.373,1.5269E+02,,
808,5.380,1.4931E+02,,
809,5.387,1.4593E+02,,
810,5.393,1.4254E+02,,
811,5.400,1.3916E+02,,
812,5.407,1.3578E+02,,
813,5.413,1.3239E+02,,
814,5.420,1.2901E+02,,
815,5.427,1.2562E+02,,
816,5.433,1.2224E+02,,
817,5.440,1.1886E+02,,
818,5.447,1.1547E+02,,
819,5.453,1.1209E+02,,
820,5.460,1.0871E+02,,
821,5.467,1.0532E+02,,
822,5.473,1.0194E+02,,
823,5.480,9.8555E+01,,
824,5.487,9.5171E+01,,
825,5.493,9.1787E+01,,
826,5.500,8.8403E+01,,
827,5.507,8.5020E+01,,
828,5.513,8.1636E+01,,
829,5.520,7.8252E+01,,
830,5.527,7.4868E+01,,
831,5.533,7.1485E+01,,
832,5.540,6.8101E+01,,
833,5.547,6.4717E+01,,
834,5.553,6.1333E+01,,
835,5.560,5.7950E+01,,
836,5.567,5.4566E+01,,
837,5.573,5.1182E+01,,
838,5.580,4.7798E+01,,
839,5.587,4.4415E+01,,
840,5.593,4.1031E+01,,
841,5.600,3.7647E+01,,
842,5.607,3.4263E+01,,
843,5.613,3.0880E+01,,
844,5.620,2.7496E+01,,
845,5.627,2.4112E+01,,
846,5.633,2.0728E+01,,
847,5.640,1.7345E+01,,
848,5.647,1.3961E+01,,
849,5.653,1.0577E+01,,
850,5.660,7.1934E+00,,
851,5.667,3.8097E+00,,
852,5.673,4.2591E-01,,
853,5.680,-2.9578E+00,,
854,5.687,-6.3416E+00,,
855,5.693,-9.7253E+00,,
856,5.700,-1.3109E+01,,
857,5.707,-1.6493E+01,,
858,5.713,-1.9877E+01,,
859,5.720,-2.3260E+01,,
860,5.727,-2.6644E+01,,
861,5.733,-3.0028E+01,,
862,5.740,-3.3412E+01,,
863,5.747,-3.6795E+01,,
864,5.753,-4.0179E+01,,
865,5.760,-4.3563E+01,,
866,5.767,-4.6947E+01,,
867,5.773,-5.0330E+01,,
868,5.780,-5.3714E+01,,
869,5.787,-5.7098E+01,,
870,5.793,-6.0482E+01,,
871,5.800,-6.3865E+01,,
872,5.807,-6.7249E+01,,
873,5.813,-7.0633E+01,,
874,5.820,-7.4017E+01,,
875,5.827,-7.7400E+01,,
876,5.833,-8.0784E+01,,
877,5.840,-8.4168E+01,,
878,5.847,-8.7552E+01,,
879,5.853,-9.0935E+01,,
880,5.860,-9.4319E+01,,
881,5.867,-9.7703E+01,,
882,5.873,-1.0109E+02,,
883,5.880,-1.0447E+02,,
884,5.887,-1.0785E+02,,
885,5.893,-1.1124E+02,,
886,5.900,-1.1462E+02,,
887,5.907,-1.1801E+02,,
888,5.913,-1.2139E+02,,
889,5.920,-1.2477E+02,,
890,5.927,-1.2816E+02,,
891,5.933,-1.3154E+02,,
892,5.940,-1.3492E+02,,
893,5.947,-1.3831E+02,,
894,5.953,-1.4169E+02,,
895,5.960,-1.4508E+02,,
896,5.967,-1.4846E+02,,
897,5.973,-1.5184E+02,,
898,5.980,-1.5523E+02,,
899,5.987,-1.5861E+02,,
900,5.993,-1.6199E+02,,
901,6.000,-1.6538E+02,,
902,6.007,-1.6876E+02,,
903,6.013,-1.7215E+02,,
904,6.020,-1.7553E+02,,
905,6.027,-1.7891E+02,,
906,6.033,1.7770E+02,,
907,6.040,1.7432E+02,,
908,6.047,1.7094E+02,,
909,6.053,1.6755E+02,,
910,6.060,1.6417E+02,,
911,6.067,1.6078E+02,,
912,6.073,1.5740E+02,,
913,6.080,1.5402E+02,,
914,6.087,1.5063E+02,,
915,6.093,1.4725E+02,,
916,6.100,1.4387E+02,,
917,6.107,1.4048E+02,,
918,6.113,1.3710E+02,,
919,6.120,1.3371E+02,,
920,6.127,1.3033E+02,,
921,6.133,1.2695E+02,,
922,6.140,1.2356E+02,,
923,6.147,1.2018E+02,,
924,6.153,1.1680E+02,,
925,6.160,1.1341E+02,,
926,6.167,1.1003E+02,,
927,6.173,1.0664E+02,,
928,6.180,1.0326E+02,,
929,6.187,9.9877E+01,,
930,6.193,9.6493E+01,,
931,6.200,9.3109E+01,,
932,6.207,8.9726E+01,,
933,6.213,8.6342E+01,,
934,6.220,8.2958E+01,,
935,6.227,7.9574E+01,,
936,6.233,7.6191E+01,,
937,6.240,7.2807E+01,,
938,6.247,6.9423E+01,,
939,6.253,6.6039E+01,,
940,6.260,6.2656E+01,,
941,6.267,5.9272E+01,,
942,6.273,5.5888E+01,,
943,6.280,5.2504E+01,,
944,6.287,4.9121E+01,,
945,6.293,4.5737E+01,,
946,6.300,4.2353E+01,,
947,6.307,3.8969E+01,,
948,6.313,3.5586E+01,,
949,6.320,3.2202E+01,,
950,6.327,2.8818E+01,,
951,6.333,2.5434E+01,,
952,6.340,2.2051E+01,,
953,6.347,1.8667E+01,,
954,6.353,1.5283E+01,,
955,6.360,1.1899E+01,,
956,6.367,8.5156E+00,,
957,6.373,5.1318E+00,,
958,6.380,1.7481E+00,,
959,6.387,-1.6357E+00,,
960,6.393,-5.0194E+00,,
961,6.400,-8.4032E+00,,
962,6.407,-1.1787E+01,,
963,6.413,-1.5171E+01,,
964,6.420,-1.8554E+01,,
965,6.427,-2.1938E+01,,
966,6.433,-2.5322E+01,,
967,6.440,-2.8706E+01,,
968,6.447,-3.2089E+01,,
969,6.453,-3.5473E+01,,
970,6.460,-3.8857E+01,,
971,6.467,-4.2241E+01,,
972,6.473,-4.5624E+01,,
973,6.480,-4.9008E+01,,
974,6.487,-5.2392E+01,,
975,6.493,-5.5776E+01,,
976,6.500,-5.9160E+01,,
977,6.507,-6.2543E+01,,
978,6.513,-6.5927E+01,,
979,6.520,-6.9311E+01,,
980,6.527,-7.2695E+01,,
981,6.533,-7.6078E+01,,
982,6.540,-7.9462E+01,,
983,6.547,-8.2846E+01,,
984,6.553,-8.6230E+01,,
985,6.560,-8.9613E+01,,
986,6.567,-9.2997E+01,,
987,6.573,-9.6381E+01,,
988,6.580,-9.9765E+01,,
989,6.587,-1.0315E+02,,
990,6.593,-1.0653E+02,,
991,6.600,-1.0992E+02,,
992,6.607,-1.1330E+02,,
993,6.613,-1.1668E+02,,
994,6.620,-1.2007E+02,,
995,6.627,-1.2345E+02,,
996,6.633,-1.2683E+02,,
997,6.640,-1.3022E+02,,
998,6.647,-1.3360E+02,,
999,6.653,-1.3699E+02,,
1000,6.660,-1.4037E+02,,
1001,6.667,-1.4375E+02,,
1002,6.673,-1.4714E+02,,
1003,6.680,-1.5052E+02,,
1004,6.687,-1.5390E+02,,
1005,6.693,-1.5729E+02,,
1006,6.700,-1.6067E+02,,
1007,6.707,-1.6406E+02,,
1008,6.713,-1.6744E+02,,
1009,6.720,-1.7082E+02,,
1010,6.727,-1.7421E+02,,
1011,6.733,-1.7759E+02,,
1012,6.740,1.7903E+02,,
1013,6.747,1.7564E+02,,
1014,6.753,1.7226E+02,,
1015,6.760,1.6887E+02,,
1016,6.767,1.6549E+02,,
1017,6.773,1.6211E+02,,
1018,6.780,1.5872E+02,,
1019,6.787,1.5534E+02,,
1020,6.793,1.5196E+02,,
1021,6.800,1.4857E+02,,
1022,6.807,1.4519E+02,,
1023,6.813,1.4180E+02,,
1024,6.820,1.3842E+02,,
1025,6.827,1.3504E+02,,
1026,6.833,1.3165E+02,,
1027,6.840,1.2827E+02,,
1028,6.847,1.2489E+02,,
1029,6.853,1.2150E+02,,
1030,6.860,1.1812E+02,,
1031,6.867,1.1473E+02,,
1032,6.873,1.1135E+02,,
1033,6.880,1.0797E+02,,
1034,6.887,1.0458E+02,,
1035,6.893,1.0120E+02,,
1036,6.900,9.7815E+01,,
1037,6.907,9.4432E+01,,
1038,6.913,9.1048E+01,,
1039,6.920,8.7664E+01,,
1040,6.927,8.4280E+01,,
1041,6.933,8.0897E+01,,
1042,6.940,7.7513E+01,,
1043,6.947,7.4129E+01,,
1044,6.953,7.0745E+01,,
1045,6.960,6.7362E+01,,
1046,6.967,6.3978E+01,,
1047,6.973,6.0594E+01,,
1048,6.980,5.7210E+01,,
1049,6.987,5.3827E+01,,
1050,6.993,5.0443E+01,,
1051,7.000,4.7059E+01,,
1052,7.007,4.3675E+01,,
1053,7.013,4.0291E+01,,
1054,7.020,3.6908E+01,,
1055,7.027,3.3524E+01,,
1056,7.033,3.0140E+01,,
1057,7.040,2.6756E+01,,
1058,7.047,2.3373E+01,,
1059,7.053,1.9989E+01,,
1060,7.060,1.6605E+01,,
1061,7.067,1.3221E+01,,
1062,7.073,9.8377E+00,,
1063,7.080,6.4540E+00,,
1064,7.087,3.0702E+00,,
1065,7.093,-3.1355E-01,,
1066,7.100,-3.6973E+00,,
1067,7.107,-7.0811E+00,,
1068,7.113,-1.0465E+01,,
1069,7.120,-1.3849E+01,,
1070,7.127,-1.7232E+01,,
1071,7.133,-2.0616E+01,,
1072,7.140,-2.4000E+01,,
1073,7.147,-2.7384E+01,,
1074,7.153,-3.0767E+01,,
1075,7.160,-3.4151E+01,,
1076,7.167,-3.7535E+01,,
1077,7.173,-4.0919E+01,,
1078,7.180,-4.4302E+01,,
1079,7.187,-4.7686E+01,,
1080,7.193,-5.1070E+01,,
1081,7.200,-5.4454E+01,,
1082,7.207,-5.7837E+01,,
1083,7.213,-6.1221E+01,,
1084,7.220,-6.4605E+01,,
1085,7.227,-6.7989E+01,,
1086,7.233,-7.1372E+01,,
1087,7.240,-7.4756E+01,,
1088,7.247,-7.8140E+01,,
1089,7.253,-8.1524E+01,,
1090,7.260,-8.4907E+01,,
1091,7.267,-8.8291E+01,,
1092,7.273,-9.1675E+01,,
1093,7.280,-9.5059E+01,,
1094,7.287,-9.8442E+01,,
1095,7.293,-1.0183E+02,,
1096,7.300,-1.0521E+02,,
1097,7.307,-1.0859E+02,,
1098,7.313,-1.1198E+02,,
1099,7.320,-1.1536E+02,,
1100,7.327,-1.1874E+02,,
1101,7.333,-1.2213E+02,,
1102,7.340,-1.2551E+02,,
1103,7.347,-1.2890E+02,,
1104,7.353,-1.3228E+02,,
1105,7.360,-1.3566E+02,,
1106,7.367,-1.3905E+02,,
1107,7.373,-1.4243E+02,,
1108,7.380,-1.4581E+02,,
1109,7.387,-1.4920E+02,,
1110,7.393,-1.5258E+02,,
1111,7.400,-1.5597E+02,,
1112,7.407,-1.5935E+02,,
1113,7.413,-1.6273E+02,,
1114,7.420,-1.6612E+02,,
1115,7.427,-1.6950E+02,,
1116,7.433,-1.7288E+02,,
1117,7.440,-1.7627E+02,,
1118,7.447,-1.7965E+02,,
1119,7.453,1.7696E+02,,
1120,7.460,1.7358E+02,,
1121,7.467,1.7020E+02,,
1122,7.473,1.6681E+02,,
1123,7.480,1.6343E+02,,
1124,7.487,1.6005E+02,,
1125,7.493,1.5666E+02,,
1126,7.500,1.5328E+02,,
1127,7.507,1.4989E+02,,
1128,7.513,1.4651E+02,,
1129,7.520,1.4313E+02,,
1130,7.527,1.3974E+02,,
1131,7.533,1.3636E+02,,
1132,7.540,1.3297E+02,,
1133,7.547,1.2959E+02,,
1134,7.553,1.2621E+02,,
1135,7.560,1.2282E+02,,
1136,7.567,1.1944E+02,,
1137,7.573,1.1606E+02,,
1138,7.580,1.1267E+02,,
1139,7.587,1.0929E+02,,
1140,7.593,1.0590E+02,,
1141,7.600,1.0252E+02,,
1142,7.607,9.9137E+01,,
1143,7.613,9.5754E+01,,
1144,7.620,9.2370E+01,,
1145,7.627,8.8986E+01,,
1146,7.633,8.5602E+01,,
1147,7.640,8.2219E+01,,
1148,7.647,7.8835E+01,,
1149,7.653,7.5451E+01,,
1150,7.660,7.2067E+01,,
1151,7.667,6.8684E+01,,
1152,7.673,6.5300E+01,,
1153,7.680,6.1916E+01,,
1154,7.687,5.8532E+01,,
1155,7.693,5.5149E+01,,
1156,7.700,5.1765E+01,,
1157,7.707,4.8381E+01,,
1158,7.713,4.4997E+01,,
1159,7.720,4.1614E+01,,
1160,7.727,3.8230E+01,,
1161,7.733,3.4846E+01,,
1162,7.740,3.1462E+01,,
1163,7.747,2.8079E+01,,
1164,7.753,2.4695E+01,,
1165,7.760,2.1311E+01,,
1166,7.767,1.7927E+01,,
1167,7.773,1.4544E+01,,
1168,7.780,1.1160E+01,,
1169,7.787,7.7761E+00,,
1170,7.793,4.3924E+00,,
1171,7.800,1.0086E+00,,
1172,7.807,-2.3752E+00,,
1173,7.813,-5.7589E+00,,
1174,7.820,-9.1427E+00,,
1175,7.827,-1.2526E+01,,
1176,7.833,-1.5910E+01,,
1177,7.840,-1.9294E+01,,
1178,7.847,-2.2678E+01,,
1179,7.853,-2.6061E+01,,
1180,7.860,-2.9445E+01,,
1181,7.867,-3.2829E+01,,
1182,7.873,-3.6213E+01,,
1183,7.880,-3.9596E+01,,
1184,7.887,-4.2980E+01,,
1185,7.893,-4.6364E+01,,
1186,7.900,-4.9748E+01,,
1187,7.907,-5.3131E+01,,
1188,7.913,-5.6515E+01,,
1189,7.920,-5.9899E+01,,
1190,7.927,-6.3283E+01,,
1191,7.933,-6.6666E+01,,
1192,7.940,-7.0050E+01,,
1193,7.947,-7.3434E+01,,
1194,7.953,-7.6818E+01,,
1195,7.960,-8.0201E+01,,
1196,7.967,-8.3585E+01,,
1197,7.973,-8.6969E+01,,
1198,7.980,-9.0353E+01,,
1199,7.987,-9.3736E+01,,
1200,7.993,-9.7120E+01,,
1201,8.000,-1.0050E+02,,
1202,8.007,-1.0389E+02,,
1203,8.013,-1.0727E+02,,
1204,8.020,-1.1066E+02,,
1205,8.027,-1.1404E+02,,
1206,8.033,-1.1742E+02,,
1207,8.040,-1.2081E+02,,
1208,8.047,-1.2419E+02,,
1209,8.053,-1.2757E+02,,
1210,8.060,-1.3096E+02,,
1211,8.067,-1.3434E+02,,
1212,8.073,-1.3773E+02,,
1213,8.080,-1.4111E+02,,
1214,8.087,-1.4449E+02,,
1215,8.093,-1.4788E+02,,
1216,8.100,-1.5126E+02,,
1217,8.107,-1.5464E+02,,
1218,8.113,-1.5803E+02,,
1219,8.120,-1.6141E+02,,
1220,8.127,-1.6480E+02,,
1221,8.133,-1.6818E+02,,
1222,8.140,-1.7156E+02,,
1223,8.147,-1.7495E+02,,
1224,8.153,-1.7833E+02,,
1225,8.160,1.7829E+02,,
1226,8.167,1.7490E+02,,
1227,8.173,1.7152E+02,,
1228,8.180,1.6813E+02,,
1229,8.187,1.6475E+02,,
1230,8.193,1.6137E+02,,
1231,8.200,1.5798E+02,,
1232,8.207,1.5460E+02,,
1233,8.213,1.5122E+02,,
1234,8.220,1.4783E+02,,
1235,8.227,1.4445E+02,,
1236,8.233,1.4106E+02,,
1237,8.240,1.3768E+02,,
1238,8.247,1.3430E+02,,
1239,8.253,1.3091E+02,,
1240,8.260,1.2753E+02,,
1241,8.267,1.2415E+02,,
1242,8.273,1.2076E+02,,
1243,8.280,1.1738E+02,,
1244,8.287,1.1399E+02,,
1245,8.293,1.1061E+02,,
1246,8.300,1.0723E+02,,
1247,8.307,1.0384E+02,,
1248,8.313,1.0046E+02,,
1249,8.320,9.7076E+01,,
1250,8.327,9.3692E+01,,
1251,8.333,9.0308E+01,,
1252,8.340,8.6925E+01,,
1253,8.347,8.3541E+01,,
1254,8.353,8.0157E+01,,
1255,8.360,7.6773E+01,,
1256,8.367,7.3390E+01,,
1257,8.373,7.0006E+01,,
1258,8.380,6.6622E+01,,
1259,8.387,6.3238E+01,,
1260,8.393,5.9855E+01,,
1261,8.400,5.6471E+01,,
1262,8.407,5.3087E+01,,
1263,8.413,4.9703E+01,,
1264,8.420,4.6320E+01,,
1265,8.427,4.2936E+01,,
1266,8.433,3.9552E+01,,
1267,8.440,3.6168E+01,,
1268,8.447,3.2785E+01,,
1269,8.453,2.9401E+01,,
1270,8.460,2.6017E+01,,
1271,8.467,2.2633E+01,,
1272,8.473,1.9250E+01,,
1273,8.480,1.5866E+01,,
1274,8.487,1.2482E+01,,
1275,8.493,9.0983E+00,,
1276,8.500,5.7145E+00,,
1277,8.507,2.3307E+00,,
1278,8.513,-1.0530E+00,,
1279,8.520,-4.4368E+00,,
1280,8.527,-7.8205E+00,,
1281,8.533,-1.1204E+01,,
1282,8.540,-1.4588E+01,,
1283,8.547,-1.7972E+01,,
1284,8.553,-2.1356E+01,,
1285,8.560,-2.4739E+01,,
1286,8.567,-2.8123E+01,,
1287,8.573,-3.1507E+01,,
1288,8.580,-3.4891E+01,,
1289,8.587,-3.8274E+01,,
1290,8.593,-4.1658E+01,,
1291,8.600,-4.5042E+01,,
1292,8.607,-4.8426E+01,,
1293,8.613,-5.1809E+01,,
1294,8.620,-5.5193E+01,,
1295,8.627,-5.8577E+01,,
1296,8.633,-6.1961E+01,,
1297,8.640,-6.5344E+01,,
1298,8.647,-6.8728E+01,,
1299,8.653,-7.2112E+01,,
1300,8.660,-7.5496E+01,,
1301,8.667,-7.8879E+01,,
1302,8.673,-8.2263E+01,,
1303,8.680,-8.5647E+01,,
1304,8.687,-8.9031E+01,,
1305,8.693,-9.2414E+01,,
1306,8.700,-9.5798E+01,,
1307,8.707,-9.9182E+01,,
1308,8.713,-1.0257E+02,,
1309,8.720,-1.0595E+02,,
1310,8.727,-1.0933E+02,,
1311,8.733,-1.1272E+02,,
1312,8.740,-1.1610E+02,,
1313,8.747,-1.1948E+02,,
1314,8.753,-1.2287E+02,,
1315,8.760,-1.2625E+02,,
1316,8.767,-1.2964E+02,,
1317,8.773,-1.3302E+02,,
1318,8.780,-1.3640E+02,,
1319,8.787,-1.3979E+02,,
1320,8.793,-1.4317E+02,,
1321,8.800,-1.4655E+02,,
1322,8.807,-1.4994E+02,,
1323,8.813,-1.5332E+02,,
1324,8.820,-1.5671E+02,,
1325,8.827,-1.6009E+02,,
1326,8.833,-1.6347E+02,,
1327,8.840,-1.6686E+02,,
1328,8.847,-1.7024E+02,,
1329,8.853,-1.7362E+02,,
1330,8.860,-1.7701E+02,,
1331,8.867,1.7961E+02,,
1332,8.873,1.7622E+02,,
1333,8.880,1.7284E+02,,
1334,8.887,1.6946E+02,,
1335,8.893,1.6607E+02,,
1336,8.900,1.6269E+02,,
1337,8.907,1.5931E+02,,
1338,8.913,1.5592E+02,,
1339,8.920,1.5254E+02,,
1340,8.927,1.4915E+02,,
1341,8.933,1.4577E+02,,
1342,8.940,1.4239E+02,,
1343,8.947,1.3900E+02,,
1344,8.953,1.3562E+02,,
1345,8.960,1.3224E+02,,
1346,8.967,1.2885E+02,,
1347,8.973,1.2547E+02,,
1348,8.980,1.2208E+02,,
1349,8.987,1.1870E+02,,
1350,8.993,1.1532E+02,,
1351,9.000,1.1193E+02,,
1352,9.007,1.0855E+02,,
1353,9.013,1.0517E+02,,
1354,9.020,1.0178E+02,,
1355,9.027,9.8398E+01,,
1356,9.033,9.5014E+01,,
1357,9.040,9.1630E+01,,
1358,9.047,8.8247E+01,,
1359,9.053,8.4863E+01,,
1360,9.060,8.1479E+01,,
1361,9.067,7.8095E+01,,
1362,9.073,7.4712E+01,,
1363,9.080,7.1328E+01,,
1364,9.087,6.7944E+01,,
1365,9.093,6.4560E+01,,
1366,9.100,6.1177E+01,,
1367,9.107,5.7793E+01,,
1368,9.113,5.4409E+01,,
1369,9.120,5.1025E+01,,
1370,9.127,4.7642E+01,,
1371,9.133,4.4258E+01,,
1372,9.140,4.0874E+01,,
1373,9.147,3.7490E+01,,
1374,9.153,3.4107E+01,,
1375,9.160,3.0723E+01,,
1376,9.167,2.7339E+01,,
1377,9.173,2.3955E+01,,
1378,9.180,2.0572E+01,,
1379,9.187,1.7188E+01,,
1380,9.193,1.3804E+01,,
1381,9.200,1.0420E+01,,
1382,9.207,7.0366E+00,,
1383,9.213,3.6529E+00,,
1384,9.220,2.6914E-01,,
1385,9.227,-3.1146E+00,,
1386,9.233,-6.4984E+00,,
1387,9.240,-9.8821E+00,,
1388,9.247,-1.3266E+01,,
1389,9.253,-1.6650E+01,,
1390,9.260,-2.0033E+01,,
1391,9.267,-2.3417E+01,,
1392,9.273,-2.6801E+01,,
1393,9.280,-3.0185E+01,,
1394,9.287,-3.3568E+01,,
1395,9.293,-3.6952E+01,,
1396,9.300,-4.0336E+01,,
1397,9.307,-4.3720E+01,,
1398,9.313,-4.7103E+01,,
1399,9.320,-5.0487E+01,,
1400,9.327,-5.3871E+01,,
1401,9.333,-5.7255E+01,,
1402,9.340,-6.0638E+01,,
1403,9.347,-6.4022E+01,,
1404,9.353,-6.7406E+01,,
1405,9.360,-7.0790E+01,,
1406,9.367,-7.4173E+01,,
1407,9.373,-7.7557E+01,,
1408,9.380,-8.0941E+01,,
1409,9.387,-8.4325E+01,,
1410,9.393,-8.7708E+01,,
1411,9.400,-9.1092E+01,,
1412,9.407,-9.4476E+01,,
1413,9.413,-9.7860E+01,,
1414,9.420,-1.0124E+02,,
1415,9.427,-1.0463E+02,,
1416,9.433,-1.0801E+02,,
1417,9.440,-1.1139E+02,,
1418,9.447,-1.1478E+02,,
1419,9.453,-1.1816E+02,,
1420,9.460,-1.2155E+02,,
1421,9.467,-1.2493E+02,,
1422,9.473,-1.2831E+02,,
1423,9.480,-1.3170E+02,,
1424,9.487,-1.3508E+02,,
1425,9.493,-1.3846E+02,,
1426,9.500,-1.4185E+02,,
1427,9.507,-1.4523E+02,,
1428,9.513,-1.4862E+02,,
